time,type,rv
22.044,Spot,0
22.2945,Spot,0
22.545,Spot,0
22.7955,Spot,0
23.046000000000003,Spot,0
23.2965,Spot,0
23.547,Spot,0
23.7975,Spot,0
24.048,Spot,0
24.2985,Spot,0
24.549,Spot,0
24.799500000000002,Spot,0
0,Planet+Spot,0
0.2505,Planet+Spot,0.3324155401852789
0.501,Planet+Spot,0.6140238174353146
0.7515,Planet+Spot,0.801783084126008
1.002,Planet+Spot,0.866995721530011
1.2525000000000002,Planet+Spot,0.799694459123692
1.503,Planet+Spot,0.6101657983535413
1.7535000000000003,Planet+Spot,0.3273777967783182
2.004,Planet+Spot,-0.00544748581813955
2.2545,Planet+Spot,-0.3374401603958996
2.5050000000000003,Planet+Spot,-0.6178575959081533
2.7555,Planet+Spot,-0.8038400561050353
3.006,Planet+Spot,-0.8669614940234595
3.2565000000000004,Planet+Spot,-0.7975742635534262
3.5070000000000006,Planet+Spot,-0.6062836909708191
3.7575,Planet+Spot,-0.32232712905650196
4.008,Planet+Spot,0.01089475657886659
4.258500000000001,Planet+Spot,0.34245145904677804
4.509,Planet+Spot,0.621666982421047
4.7595,Planet+Spot,0.8058652938550419
5.010000000000001,Planet+Spot,0.8668930403615998
5.2605,Planet+Spot,0.7954225811169012
5.511,Planet+Spot,0.6023776485461025
5.761500000000001,Planet+Spot,0.3172637364115417
6.012,Planet+Spot,-0.01634159723325755
6.2625,Planet+Spot,-0.3404492383004226
6.513000000000001,Planet+Spot,-0.6024518265859387
6.7635000000000005,Planet+Spot,-0.74885871742311
7.014000000000001,Planet+Spot,-0.7657903632468652
7.2645,Planet+Spot,-0.6552394967588554
7.515,Planet+Spot,-0.40044782528325706
7.7655,Planet+Spot,-0.07118781873751179
8.016,Planet+Spot,0.3517877927493734
8.2665,Planet+Spot,0.6914333008530698
8.517000000000001,Planet+Spot,1.010211978983663
8.7675,Planet+Spot,1.2548202481122894
9.018,Planet+Spot,1.3486534667327725
9.2685,Planet+Spot,1.3050250966637211
9.519,Planet+Spot,1.1344943763249762
9.7695,Planet+Spot,0.8550995764229492
10.020000000000001,Planet+Spot,0.534766871879262
10.2705,Planet+Spot,0.22059655005753986
10.521,Planet+Spot,-0.09794729116983814
10.7715,Planet+Spot,-0.2587498084847072
11.022,Planet+Spot,-0.3744823562237614
11.2725,Planet+Spot,-0.32977946825222193
11.523000000000001,Planet+Spot,-0.17251745774665317
11.7735,Planet+Spot,0.07700078965705315
12.024,Planet+Spot,0.3426773883748306
12.2745,Planet+Spot,0.6083594893556196
12.525,Planet+Spot,0.8196576156807385
12.775500000000001,Planet+Spot,0.9286473223646261
13.026000000000002,Planet+Spot,0.9142770384749823
13.2765,Planet+Spot,0.7695027001779233
13.527000000000001,Planet+Spot,0.5095172265502286
13.777500000000002,Planet+Spot,0.163886921851227
14.028000000000002,Planet+Spot,-0.2211203585815919
14.2785,Planet+Spot,-0.6073012234365981
14.529,Planet+Spot,-0.9003428060391041
14.7795,Planet+Spot,-1.1205127148414442
15.03,Planet+Spot,-1.183037521592028
15.2805,Planet+Spot,-1.1091948823237303
15.531,Planet+Spot,-0.9164938406579779
15.781500000000001,Planet+Spot,-0.6207629127721843
16.032,Planet+Spot,-0.27343817613814025
16.282500000000002,Planet+Spot,0.07222845709419845
16.533,Planet+Spot,0.382002716759932
16.7835,Planet+Spot,0.5803459122726617
17.034000000000002,Planet+Spot,0.6317638150306149
17.284499999999998,Planet+Spot,0.6088561057983409
17.535,Planet+Spot,0.43444745890628744
17.7855,Planet+Spot,0.18562738539292647
18.036,Planet+Spot,-0.12300156939591742
18.2865,Planet+Spot,-0.42014099580966446
18.537,Planet+Spot,-0.6646372033562074
18.7875,Planet+Spot,-0.8241468422867831
19.038,Planet+Spot,-0.8654559295962098
19.288500000000003,Planet+Spot,-0.7794864629326429
19.539,Planet+Spot,-0.5743782410393798
19.7895,Planet+Spot,-0.28148054245527215
20.040000000000003,Planet+Spot,0.0544393804319164
20.2905,Planet+Spot,0.3820386456443903
20.541,Planet+Spot,0.6512461223446308
20.7915,Planet+Spot,0.8209154337861742
21.042,Planet+Spot,0.8651138774436019
21.2925,Planet+Spot,0.7770860472760855
21.543,Planet+Spot,0.5702863477030116
21.7935,Planet+Spot,0.27632258714777647
22.044,Planet+Spot,-0.059875042294391084
22.2945,Planet+Spot,-0.3869212132475355
22.545,Planet+Spot,-0.654829331251254
22.7955,Planet+Spot,-0.8226516169498747
23.046000000000003,Planet+Spot,-0.8647376720764244
23.2965,Planet+Spot,-0.7746549535929661
23.547,Planet+Spot,-0.5661719404381156
23.7975,Planet+Spot,-0.27115372309768027
24.048,Planet+Spot,0.06530834039271234
24.2985,Planet+Spot,0.3917885058636996
24.549,Planet+Spot,0.6583866886171267
24.799500000000002,Planet+Spot,0.8243553232363411
